"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"FlowTest automated execution for scenario `zapper_disconnect_happy_path`","49","Zapper Disconnect Workflow - Full Happy Path with Async Event Validation","FlowTest","2026-04-03","failed","2026-04-03","Zapper Disconnect Workflow - Full Happy Path with Async Event Validation","FlowTest Engine Runs","",""
"FlowTest automated execution for scenario `happy-path-electricity-disconnect`","123","Zapper Electricity Disconnect - Happy Path (Full Workflow)","FlowTest","2026-04-03","failed","2026-04-03","Zapper Electricity Disconnect - Happy Path (Full Workflow)","FlowTest Engine Runs","",""
"FlowTest automated execution for scenario `happy-path-full-disconnect-workflow`","123","Happy Path - Full Enterprise Electricity Disconnect Workflow","FlowTest","2026-04-03","failed","2026-04-03","Happy Path - Full Enterprise Electricity Disconnect Workflow","FlowTest Engine Runs","",""
"FlowTest automated execution for scenario `electricity-disconnect-happy-path`","78","Electricity Disconnect Workflow - Full Happy Path (Enterprise UPS, 2 Sites)","FlowTest","2026-04-04","failed","2026-04-04","Electricity Disconnect Workflow - Full Happy Path (Enterprise UPS, 2 Sites)","FlowTest Engine Runs","",""
